Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate
61000,2748.9,860.22,5540.482,-231,,,1860.95694,,600,,,49620.44106,0.186550147,0.3965
62000,2748.9,860.22,5745.482,-231,,,2052.45694,,600,,,50223.94106,0.189936435,0.3965
63000,2748.9,860.22,5950.482,-231,,,2243.95694,0,600,,,50827.44106,0.193215221,0.3965
64000,2748.9,860.22,6155.482,-231,,,2435.45694,,600,,,51430.94106,0.196391546,0.3965
65000,2748.9,860.22,6360.482,-231,,,2626.95694,,600,,,52034.44106,0.199470138,0.3965
66000,2748.9,860.22,6565.482,-231,,,2818.45694,0,600,,,52637.94106,0.202455438,0.3965
67000,2748.9,860.22,6770.482,-231,,,3009.95694,,600,,,53241.44106,0.205351626,0.3965
68000,2748.9,860.22,6975.482,-231,,,3201.45694,,600,,,53844.94106,0.208162631,0.3965
69000,2748.9,860.22,7180.482,-231,,,3342.95694,0,600,,,54498.44106,0.210167521,0.3465
70000,2748.9,860.22,7385.482,-231,,,3434.45694,0,600,,,55201.94106,0.211400842,0.2965
71000,2748.9,860.22,7590.482,-231,,,3525.95694,,600,,,55905.44106,0.212599422,0.2965
72000,2748.9,860.22,7795.482,-231,,,3617.45694,0,600,,,56608.94106,0.213764708,0.2965
73000,2748.9,860.22,8000.482,-231,,,3708.95694,0,700,,,57212.44106,0.216267931,0.3965
74000,2748.9,860.22,8205.482,-231,,,3800.45694,,750,,,57865.94106,0.218027824,0.3465
75000,2748.9,860.22,8410.482,-231,,,3891.95694,0,750,,,58569.44106,0.219074119,0.2965
76000,2748.9,860.22,8615.482,-231,,,3983.45694,0,750,,,59272.94106,0.220092881,0.2965
77000,2748.9,860.22,8820.482,-231,,,4074.95694,,750,,,59976.44106,0.221085181,0.2965
78000,2748.9,860.22,9025.482,-231,,,4166.45694,0,750,,,60679.94106,0.222052038,0.2965
79000,2748.9,860.22,9230.482,-231,,,4257.95694,0,750,,,61383.44106,0.222994417,0.2965
80000,2748.9,860.22,9435.482,-231,,,4349.45694,0,750,,,62086.94106,0.223913237,0.2965
81000,2748.9,860.22,9640.482,-231,,,4440.95694,0,750,,,62790.44106,0.22480937,0.2965
82000,2748.9,860.22,9845.482,-231,,,4532.45694,0,750,,,63493.94106,0.225683646,0.2965
83000,2748.9,860.22,10050.482,-231,,,4623.95694,0,750,,,64197.44106,0.226536855,0.2965
84000,2748.9,860.22,10255.482,-231,,,4715.45694,0,750,,,64900.94106,0.227369749,0.2965
85000,2748.9,860.22,10460.482,-231,,,4806.95694,13.391388,750,,,65591.04967,0.228340592,0.309891388
86000,2748.9,860.22,10665.482,-231,,,4898.45694,31.691388,750,,,66276.24967,0.229345934,0.3148
87000,2748.9,860.22,10870.482,-231,,,4989.95694,49.991388,750,,,66961.44967,0.230328165,0.3148
88000,2748.9,860.22,11075.482,-231,,,5085.21514,69.043028,750,,,67642.13983,0.23133932,0.31930984
89000,2748.9,860.22,11280.482,-231,,,5196.81514,91.363028,750,,,68303.21983,0.232548092,0.33892
90000,2748.9,860.22,11485.482,-231,,,5308.41514,113.683028,750,,,68964.29983,0.233730002,0.33892
91000,2748.9,860.22,11690.482,-231,,,5420.01514,136.003028,750,,,69625.37983,0.234885936,0.33892
92000,2748.9,860.22,11895.482,-231,,,5531.61514,158.323028,750,,,70286.45983,0.236016741,0.33892
93000,2748.9,860.22,12100.482,-231,,,5643.21514,180.643028,750,,,70947.53983,0.237123228,0.33892
94000,2748.9,860.22,12305.482,-231,,,5754.81514,202.963028,750,,,71608.61983,0.238206172,0.33892
95000,2748.9,860.22,12510.482,-231,,,5866.41514,225.283028,750,,,72269.69983,0.239266318,0.33892
96000,2748.9,860.22,12755.292,-231,,,5978.01514,247.603028,750,,,72890.96983,0.240719064,0.37873
97000,2748.9,860.22,13015.292,-231,,,6089.61514,278.0644784,750,,,73488.90838,0.242382388,0.40206145
98000,2748.9,860.22,13275.292,-231,,,6201.21514,340.5604784,750,,,74054.81238,0.244338649,0.434096
99000,2748.9,860.22,13535.292,-231,,,6312.81514,403.0564784,750,,,74620.71638,0.24625539,0.434096
100000,2748.9,860.22,13795.292,-231,,,6424.41514,465.5524784,750,,,75186.62038,0.248133796,0.434096
110000,2748.9,860.22,16395.292,-231,,,7540.41514,1090.512478,750,,,80845.66038,0.265039451,0.434096
120000,2748.9,860.22,18995.292,-231,,,8656.41514,1715.472478,750,,,86504.70038,0.279127497,0.434096
130000,2748.9,860.22,21595.292,-231,,,9772.41514,2340.432478,750,,,92163.74038,0.291048151,0.434096
140000,2748.9,860.22,24195.292,-231,,,10888.41514,2965.392478,750,,,97822.78038,0.301265854,0.434096
150000,2748.9,860.22,26866.202,-231,,,12004.41514,3590.352478,750,,,103410.9104,0.310593931,0.441187
160000,2748.9,860.22,29766.202,-231,,,13220.41594,4271.312926,750,,,108613.9491,0.321162818,0.479696125
170000,2748.9,860.22,32666.202,-231,,,14436.41594,4952.272926,750,,,113816.9891,0.330488299,0.479696
