Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
49000,2320.5,793.8,3154.705,-307,,-264.8,687.94535,,600,-455.24,,-599.24,-10487.75,53557.07965,-0.093001626,0.8052264
50000,2371.5,810,3349.625,-307,,-214.8,776.05175,0,600,-415.24,,-519.24,-10352.75,53901.85325,-0.078037065,0.6552264
51000,2422.5,826.2,3544.545,-307,,-164.8,864.15815,,600,-375.24,,-439.24,-10217.75,54246.62685,-0.06365935,0.6552264
52000,2473.5,842.4,3739.465,-307,,-114.8,952.26455,,600,-335.24,,-359.24,-10082.75,54591.40045,-0.049834624,0.6552264
53000,2524.5,858.6,3934.385,-307,,-64.8,1040.37095,,600,-295.24,,-279.24,-9947.75,54936.17405,-0.036531586,0.6552264
54000,2575.5,860.22,4131.492,-307,,-14.8,1129.21364,,600,-255.24,,-199.24,-9812.75,55292.60436,-0.023937118,0.64356969
55000,2626.5,860.22,4328.842,-307,,,1218.13814,,600,-215.24,,-119.24,-9677.75,55685.52986,-0.012464179,0.6070745
56000,2677.5,860.22,4526.192,-307,,,1307.06264,,600,-175.24,,-39.24,-9542.75,56093.25536,-0.001665274,0.5922745
57000,2728.5,860.22,4723.542,-307,,,1395.98714,,600,-135.24,,,-9407.75,56541.74086,0.008039634,0.5515145
58000,2748.9,860.22,4925.482,-307,,,1486.45694,,600,-95.24,,,-9272.75,57053.93106,0.016311533,0.4878098
59000,2748.9,860.22,5130.482,-307,,,1577.95694,,600,-55.24,,,-9137.75,57582.43106,0.024026592,0.4715
60000,2748.9,860.22,5335.482,-307,,,1669.45694,0,600,-15.24,,,-9002.75,58110.93106,0.031484482,0.4715
61000,2748.9,860.22,5540.482,-307,,,1860.95694,,600,,,,-8867.75,58564.19106,0.039931294,0.54674
62000,2748.9,860.22,5745.482,-307,,,2052.45694,,600,,,,-8732.75,59032.69106,0.047859822,0.5315
63000,2748.9,860.22,5950.482,-307,,,2243.95694,0,600,,,,-8597.75,59501.19106,0.05553665,0.5315
64000,2748.9,860.22,6155.482,-307,,,2435.45694,,600,,,,-8462.75,59969.69106,0.062973577,0.5315
65000,2748.9,860.22,6360.482,-307,,,2626.95694,,600,,,,-8327.75,60438.19106,0.070181676,0.5315
66000,2748.9,860.22,6565.482,-307,,,2818.45694,0,600,,,,-8194.622,60908.56306,0.077142984,0.529628
67000,2748.9,860.22,6770.482,-307,,,3009.95694,,600,,,,-8137.622,61455.06306,0.082760253,0.4535
68000,2748.9,860.22,6975.482,-307,,,3201.45694,,600,,,,-8080.622,62001.56306,0.088212308,0.4535
69000,2748.9,860.22,7180.482,-307,,,3342.95694,0,600,,,,-8023.622,62598.06306,0.092781695,0.4035
70000,2748.9,860.22,7385.482,-307,,,3434.45694,0,600,,,,-7966.622,63244.56306,0.096506242,0.3535
71000,2748.9,860.22,7590.482,-307,,,3525.95694,,600,,,,-7909.622,63891.06306,0.100125872,0.3535
72000,2748.9,860.22,7795.482,-307,,,3617.45694,0,600,,,,-7852.622,64537.56306,0.103644958,0.3535
73000,2748.9,860.22,8000.482,-307,,,3708.95694,0,700,,,,-7795.622,65084.06306,0.108437492,0.4535
74000,2748.9,860.22,8205.482,-307,,,3800.45694,,750,,,,-7738.622,65680.56306,0.112424824,0.4035
75000,2748.9,860.22,8410.482,-307,,,3891.95694,0,750,,,,-7681.622,66327.06306,0.115639159,0.3535
76000,2748.9,860.22,8615.482,-307,,,3983.45694,0,750,,,,-7624.622,66973.56306,0.118768907,0.3535
77000,2748.9,860.22,8820.482,-307,,,4074.95694,,750,,,,-7567.622,67620.06306,0.121817363,0.3535
78000,2748.9,860.22,9025.482,-307,,,4166.45694,0,750,,,,-7510.622,68266.56306,0.124787653,0.3535
79000,2748.9,860.22,9230.482,-307,,,4257.95694,0,750,,,,-7453.622,68913.06306,0.127682746,0.3535
80000,2748.9,860.22,9435.482,-307,,,4349.45694,0,750,,,,-7396.622,69559.56306,0.130505462,0.3535
81000,2748.9,860.22,9640.482,-307,,,4440.95694,0,750,,,,-7339.622,70206.06306,0.133258481,0.3535
82000,2748.9,860.22,9845.482,-307,,,4532.45694,0,750,,,,-7282.622,70852.56306,0.135944353,0.3535
83000,2748.9,860.22,10050.482,-307,,,4623.95694,0,750,,,,-7225.622,71499.06306,0.138565505,0.3535
84000,2748.9,860.22,10255.482,-307,,,4715.45694,0,750,,,,-7168.622,72145.56306,0.141124249,0.3535
85000,2748.9,860.22,10460.482,-307,,,4806.95694,13.391388,750,,,,-7111.622,72778.67167,0.143780333,0.366891388
86000,2748.9,860.22,10665.482,-307,,,4898.45694,31.691388,750,,,,-7054.622,73406.87167,0.146431725,0.3718
87000,2748.9,860.22,10870.482,-307,,,4989.95694,49.991388,750,,,,-6997.622,74035.07167,0.149022165,0.3718
88000,2748.9,860.22,11075.482,-307,,,5085.21514,69.043028,750,,,,-6940.622,74658.76183,0.151604979,0.37630984
89000,2748.9,860.22,11280.482,-307,,,5196.81514,91.363028,750,,,,-6883.622,75262.84183,0.154350092,0.39592
90000,2748.9,860.22,11485.482,-307,,,5308.41514,113.683028,750,,,,-6826.622,75866.92183,0.157034202,0.39592
91000,2748.9,860.22,11690.482,-307,,,5420.01514,136.003028,750,,,,-6769.622,76471.00183,0.159659321,0.39592
