Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
50000,2371.5,810,3349.625,-269,,-65.8,776.05175,0,600,-107.24,,,-5127.5,47662.36325,0.046752735,0.5102264
51000,2422.5,826.2,3544.545,-269,,-15.8,864.15815,,600,-67.24,,,-5057.5,48152.13685,0.055840454,0.5102264
52000,2473.5,842.4,3739.465,-269,,0,952.26455,,600,-27.24,,,-4987.5,48676.11045,0.063920953,0.4760264
53000,2524.5,858.6,3934.385,-269,,0,1040.37095,,600,,,,-4917.5,49228.64405,0.071157659,0.4474664
54000,2575.5,860.22,4131.492,-269,,0,1129.21364,,600,,,,-4847.5,49820.07436,0.07740603,0.40856969
55000,2626.5,860.22,4328.842,-269,,,1218.13814,,600,,,,-4777.5,50412.79986,0.083403639,0.4072745
56000,2677.5,860.22,4526.192,-269,,,1307.06264,,600,,,,-4707.5,51005.52536,0.089187047,0.4072745
57000,2728.5,860.22,4723.542,-269,,,1395.98714,,600,,,,-4637.5,51598.25086,0.094767529,0.4072745
58000,2748.9,860.22,4925.482,-269,,,1486.45694,,600,,,,-4567.5,52215.44106,0.099733775,0.3828098
59000,2748.9,860.22,5130.482,-269,,,1577.95694,,600,,,,-4497.5,52848.94106,0.104255236,0.3665
60000,2748.9,860.22,5335.482,-269,,,1669.45694,0,600,,,,-4427.5,53482.44106,0.108625982,0.3665
61000,2748.9,860.22,5540.482,-269,,,1860.95694,,600,,,,-4357.5,54015.94106,0.11449277,0.4665
62000,2748.9,860.22,5745.482,-269,,,2052.45694,,600,,,,-4287.5,54549.44106,0.120170305,0.4665
63000,2748.9,860.22,5950.482,-269,,,2243.95694,0,600,,,,-4217.5,55082.94106,0.125667602,0.4665
64000,2748.9,860.22,6155.482,-269,,,2435.45694,,600,,,,-4147.5,55616.44106,0.130993108,0.4665
65000,2748.9,860.22,6360.482,-269,,,2626.95694,,600,,,,-4077.5,56149.94106,0.136154753,0.4665
66000,2748.9,860.22,6565.482,-269,,,2818.45694,0,600,,,,-4008.412,56684.35306,0.141146166,0.465588
67000,2748.9,860.22,6770.482,-269,,,3009.95694,,600,,,,-3976.412,57255.85306,0.145435029,0.4285
68000,2748.9,860.22,6975.482,-269,,,3201.45694,,600,,,,-3944.412,57827.35306,0.149597749,0.4285
69000,2748.9,860.22,7180.482,-269,,,3342.95694,0,600,,,,-3912.412,58448.85306,0.152915173,0.3785
70000,2748.9,860.22,7385.482,-269,,,3434.45694,0,600,,,,-3880.412,59120.35306,0.155423528,0.3285
71000,2748.9,860.22,7590.482,-269,,,3525.95694,,600,,,,-3848.412,59791.85306,0.157861225,0.3285
72000,2748.9,860.22,7795.482,-269,,,3617.45694,0,600,,,,-3816.412,60463.35306,0.160231208,0.3285
73000,2748.9,860.22,8000.482,-269,,,3708.95694,0,700,,,,-3784.412,61034.85306,0.163906122,0.4285
74000,2748.9,860.22,8205.482,-269,,,3800.45694,,750,,,,-3752.412,61656.35306,0.16680604,0.3785
75000,2748.9,860.22,8410.482,-269,,,3891.95694,0,750,,,,-3720.412,62327.85306,0.168961959,0.3285
76000,2748.9,860.22,8615.482,-269,,,3983.45694,0,750,,,,-3688.412,62999.35306,0.171061144,0.3285
77000,2748.9,860.22,8820.482,-269,,,4074.95694,,750,,,,-3656.412,63670.85306,0.173105804,0.3285
78000,2748.9,860.22,9025.482,-269,,,4166.45694,0,750,,,,-3624.412,64342.35306,0.175098038,0.3285
79000,2748.9,860.22,9230.482,-269,,,4257.95694,0,750,,,,-3592.412,65013.85306,0.177039835,0.3285
80000,2748.9,860.22,9435.482,-269,,,4349.45694,0,750,,,,-3560.412,65685.35306,0.178933087,0.3285
81000,2748.9,860.22,9640.482,-269,,,4440.95694,0,750,,,,-3528.412,66356.85306,0.180779592,0.3285
82000,2748.9,860.22,9845.482,-269,,,4532.45694,0,750,,,,-3496.412,67028.35306,0.18258106,0.3285
83000,2748.9,860.22,10050.482,-269,,,4623.95694,0,750,,,,-3464.412,67699.85306,0.18433912,0.3285
84000,2748.9,860.22,10255.482,-269,,,4715.45694,0,750,,,,-3432.412,68371.35306,0.186055321,0.3285
85000,2748.9,860.22,10460.482,-269,,,4806.95694,13.391388,750,,,,-3400.412,69029.46167,0.187888686,0.341891388
86000,2748.9,860.22,10665.482,-269,,,4898.45694,31.691388,750,,,,-3368.412,69682.66167,0.189736492,0.3468
87000,2748.9,860.22,10870.482,-269,,,4989.95694,49.991388,750,,,,-3336.412,70335.86167,0.19154182,0.3468
88000,2748.9,860.22,11075.482,-269,,,5085.21514,69.043028,750,,,,-3304.412,70984.55183,0.193357366,0.35130984
89000,2748.9,860.22,11280.482,-269,,,5196.81514,91.363028,750,,,,-3272.412,71613.63183,0.195352451,0.37092
90000,2748.9,860.22,11485.482,-269,,,5308.41514,113.683028,750,,,,-3240.412,72242.71183,0.197303202,0.37092
91000,2748.9,860.22,11690.482,-269,,,5420.01514,136.003028,750,,,,-3208.412,72871.79183,0.199211079,0.37092
92000,2748.9,860.22,11895.482,-269,,,5531.61514,158.323028,750,,,,-3176.412,73500.87183,0.20107748,0.37092
93000,2748.9,860.22,12100.482,-269,,,5643.21514,180.643028,750,,,,-3144.412,74129.95183,0.202903744,0.37092
94000,2748.9,860.22,12305.482,-269,,,5754.81514,202.963028,750,,,,-3112.412,74759.03183,0.204691151,0.37092
95000,2748.9,860.22,12510.482,-269,,,5866.41514,225.283028,750,,,,-3080.412,75388.11183,0.206440928,0.37092
96000,2748.9,860.22,12755.292,-269,,,5978.01514,247.603028,750,,,,-3048.412,75977.38183,0.208568939,0.41073
97000,2748.9,860.22,13015.292,-269,,,6089.61514,278.0644784,750,,,,-3016.412,76543.32038,0.210893604,0.43406145
98000,2748.9,860.22,13275.292,-269,,,6201.21514,340.5604784,750,,,,-2984.412,77077.22438,0.21349771,0.466096
99000,2748.9,860.22,13535.292,-269,,,6312.81514,403.0564784,750,,,,-2952.412,77611.12838,0.216049208,0.466096
100000,2748.9,860.22,13795.292,-269,,,6424.41514,465.5524784,750,,,,-2920.412,78145.03238,0.218549676,0.466096
110000,2748.9,860.22,16395.292,-269,,,7540.41514,1090.512478,750,,,,-2600.412,83484.07238,0.241053887,0.466096
120000,2748.9,860.22,18995.292,-269,,,8656.41514,1715.472478,750,,,,-2280.412,88823.11238,0.259807397,0.466096
130000,2748.9,860.22,21595.292,-269,,,9772.41514,2340.432478,750,,,,-1960.412,94162.15238,0.275675751,0.466096
140000,2748.9,860.22,24195.292,-269,,,10888.41514,2965.392478,750,,,,-1640.412,99501.19238,0.289277197,0.466096
150000,2748.9,860.22,26866.202,-269,,,12004.41514,3590.352478,750,,,,-1320.412,104769.3224,0.301537851,0.473187
160000,2748.9,860.22,29766.202,-269,,,13220.41594,4271.312926,750,,,,-1000.412,109652.3611,0.314672743,0.511696125
170000,2748.9,860.22,32666.202,-269,,,14436.41594,4952.272926,750,,,,-680.412,114535.4011,0.326262346,0.511696
180000,2748.9,860.22,35566.202,-269,,,15652.41594,5633.232926,750,,,,-360.412,119418.4411,0.336564216,0.511696
190000,2748.9,860.22,38466.202,-269,,,16868.41594,6314.192926,750,,,,-40.412,124301.4811,0.345781678,0.511696
200000,2748.9,860.22,41366.202,-269,,,18084.41594,6995.152926,750,,,,0,129464.1091,0.352679454,0.4837372
210000,2748.9,860.22,44266.202,-269,,,19300.41594,7676.112926,900,,,,0,134517.1491,0.359442147,0.494696
220000,2748.9,860.22,47551.202,-269,,,20516.41594,8357.072926,900,,,,0,139335.1891,0.366658231,0.518196
230000,2748.9,860.22,50851.202,-269,,,21832.41594,9094.032926,900,,,,0,143982.2291,0.373990308,0.535296
