Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,OCB,CCB,Net Income,Effective Tax Rate,Marginal Tax Rate
48000,2269.5,777.6,2959.785,-383,,-612.8,599.83895,,450,-1111.24,,-3485.2,-21947.5,68483.01605,-0.426729501,0.7160764
49000,2320.5,793.8,3154.705,-383,,-562.8,687.94535,,600,-1071.24,,-3405.2,-21717.5,68582.78965,-0.399648768,0.9002264
50000,2371.5,810,3349.625,-383,,-512.8,776.05175,0,600,-1031.24,,-3325.2,-21487.5,68832.56325,-0.376651265,0.7502264
51000,2422.5,826.2,3544.545,-383,,-462.8,864.15815,,600,-991.24,,-3245.2,-21257.5,69082.33685,-0.354555625,0.7502264
52000,2473.5,842.4,3739.465,-383,,-412.8,952.26455,,600,-951.24,,-3165.2,-21027.5,69332.11045,-0.333309816,0.7502264
53000,2524.5,858.6,3934.385,-383,,-362.8,1040.37095,,600,-911.24,,-3085.2,-20797.5,69581.88405,-0.312865737,0.7502264
54000,2575.5,860.22,4131.492,-383,,-312.8,1129.21364,,600,-871.24,,-3005.2,-20567.5,69843.31436,-0.29339471,0.73856969
55000,2626.5,860.22,4328.842,-383,,-262.8,1218.13814,,600,-831.24,,-2925.2,-20337.5,70106.03986,-0.27465527,0.7372745
56000,2677.5,860.22,4526.192,-383,,-212.8,1307.06264,,600,-791.24,,-2845.2,-20107.5,70368.76536,-0.256585096,0.7372745
57000,2728.5,860.22,4723.542,-383,,-162.8,1395.98714,,600,-751.24,,-2765.2,-19877.5,70631.49086,-0.239148962,0.7372745
58000,2748.9,860.22,4925.482,-383,,-112.8,1486.45694,,600,-711.24,,-2685.2,-19647.5,70918.68106,-0.22273588,0.7128098
59000,2748.9,860.22,5130.482,-383,,-62.8,1577.95694,,600,-671.24,,-2605.2,-19417.5,71222.18106,-0.207155611,0.6965
60000,2748.9,860.22,5335.482,-383,,-12.8,1669.45694,0,600,-631.24,,-2525.2,-19187.5,71525.68106,-0.192094684,0.6965
61000,2748.9,860.22,5540.482,-383,,,1860.95694,,600,-591.24,,-2445.2,-18957.5,71766.38106,-0.17649805,0.7593
62000,2748.9,860.22,5745.482,-383,,,2052.45694,,600,-551.24,,-2365.2,-18727.5,72019.88106,-0.161610985,0.7465
63000,2748.9,860.22,5950.482,-383,,,2243.95694,0,600,-511.24,,-2285.2,-18497.5,72273.38106,-0.147196525,0.7465
64000,2748.9,860.22,6155.482,-383,,,2435.45694,,600,-471.24,,-2205.2,-18267.5,72526.88106,-0.133232517,0.7465
65000,2748.9,860.22,6360.482,-383,,,2626.95694,,600,-431.24,,-2125.2,-18037.5,72780.38106,-0.11969817,0.7465
66000,2748.9,860.22,6565.482,-383,,,2818.45694,0,600,-391.24,,-2045.2,-17810.74,73037.12106,-0.106623046,0.74326
67000,2748.9,860.22,6770.482,-383,,,3009.95694,,600,-351.24,,-1965.2,-17715.74,73425.62106,-0.095904792,0.6115
68000,2748.9,860.22,6975.482,-383,,,3201.45694,,600,-311.24,,-1885.2,-17620.74,73814.12106,-0.08550178,0.6115
69000,2748.9,860.22,7180.482,-383,,,3342.95694,0,600,-271.24,,-1805.2,-17525.74,74252.62106,-0.076124943,0.5615
70000,2748.9,860.22,7385.482,-383,,,3434.45694,0,600,-231.24,,-1725.2,-17430.74,74741.12106,-0.067730301,0.5115
71000,2748.9,860.22,7590.482,-383,,,3525.95694,,600,-191.24,,-1645.2,-17335.74,75229.62106,-0.059572128,0.5115
72000,2748.9,860.22,7795.482,-383,,,3617.45694,0,600,-151.24,,-1565.2,-17240.74,75718.12106,-0.05164057,0.5115
73000,2748.9,860.22,8000.482,-383,,,3708.95694,0,700,-111.24,,-1485.2,-17145.74,76106.62106,-0.042556453,0.6115
74000,2748.9,860.22,8205.482,-383,,,3800.45694,,750,-71.24,,-1405.2,-17050.74,76545.12106,-0.034393528,0.5615
75000,2748.9,860.22,8410.482,-383,,,3891.95694,0,750,-31.24,,-1325.2,-16955.74,77033.62106,-0.027114947,0.5115
76000,2748.9,860.22,8615.482,-383,,,3983.45694,0,750,,,-1245.2,-16860.74,77530.88106,-0.020143172,0.50274
77000,2748.9,860.22,8820.482,-383,,,4074.95694,,750,,,-1165.2,-16765.74,78059.38106,-0.013758196,0.4715
78000,2748.9,860.22,9025.482,-383,,,4166.45694,0,750,,,-1085.2,-16670.74,78587.88106,-0.007536937,0.4715
79000,2748.9,860.22,9230.482,-383,,,4257.95694,0,750,,,-1005.2,-16575.74,79116.38106,-0.001473178,0.4715
80000,2748.9,860.22,9435.482,-383,,,4349.45694,0,750,,,-925.2,-16480.74,79644.88106,0.004438987,0.4715
81000,2748.9,860.22,9640.482,-383,,,4440.95694,0,750,,,-845.2,-16385.74,80173.38106,0.010205172,0.4715
82000,2748.9,860.22,9845.482,-383,,,4532.45694,0,750,,,-765.2,-16290.74,80701.88106,0.015830719,0.4715
83000,2748.9,860.22,10050.482,-383,,,4623.95694,0,750,,,-685.2,-16195.74,81230.38106,0.02132071,0.4715
84000,2748.9,860.22,10255.482,-383,,,4715.45694,0,750,,,-605.2,-16100.74,81758.88106,0.026679987,0.4715
85000,2748.9,860.22,10460.482,-383,,,4806.95694,13.391388,750,,,-525.2,-16005.74,82273.98967,0.03207071,0.484891388
86000,2748.9,860.22,10665.482,-383,,,4898.45694,31.691388,750,,,-445.2,-15910.74,82784.18967,0.037393143,0.4898
87000,2748.9,860.22,10870.482,-383,,,4989.95694,49.991388,750,,,-365.2,-15815.74,83294.38967,0.042593222,0.4898
88000,2748.9,860.22,11075.482,-383,,,5085.21514,69.043028,750,,,-285.2,-15720.74,83800.07983,0.047726366,0.49430984
89000,2748.9,860.22,11280.482,-383,,,5196.81514,91.363028,750,,,-205.2,-15625.74,84286.15983,0.052964496,0.51392
